s3ss0 := [1,1](s3s0x0x0,s3s0x1x0,s3s0x2x0,s3s1x0x0,s3s1x1x0,s3s1x2x0,s3s2x0x0,s3s2x1x0,s3s2x2x0);
s3ss1 := [1,1](s3s0x0x1,s3s0x1x1,s3s0x2x1,s3s1x0x1,s3s1x1x1,s3s1x2x1,s3s2x0x1,s3s2x1x1,s3s2x2x1);
s3ss2 := [1,1](s3s0x0x2,s3s0x1x2,s3s0x2x2,s3s1x0x2,s3s1x1x2,s3s1x2x2,s3s2x0x2,s3s2x1x2,s3s2x2x2);
s3ss3 := [1,1](s3s0x0x3,s3s0x1x3,s3s0x2x3,s3s1x0x3,s3s1x1x3,s3s1x2x3,s3s2x0x3,s3s2x1x3,s3s2x2x3);
s3ss4 := [1,1](s3s0x0x4,s3s0x1x4,s3s0x2x4,s3s1x0x4,s3s1x1x4,s3s1x2x4,s3s2x0x4,s3s2x1x4,s3s2x2x4);
s3ss5 := [1,1](s3s0x0x5,s3s0x1x5,s3s0x2x5,s3s1x0x5,s3s1x1x5,s3s1x2x5,s3s2x0x5,s3s2x1x5,s3s2x2x5);
s3ss6 := [1,1](s3s0x0x6,s3s0x1x6,s3s0x2x6,s3s1x0x6,s3s1x1x6,s3s1x2x6,s3s2x0x6,s3s2x1x6,s3s2x2x6);
s3ss7 := [1,1](s3s0x0x7,s3s0x1x7,s3s0x2x7,s3s1x0x7,s3s1x1x7,s3s1x2x7,s3s2x0x7,s3s2x1x7,s3s2x2x7);
s3ss8 := [1,1](s3s0x0x8,s3s0x1x8,s3s0x2x8,s3s1x0x8,s3s1x1x8,s3s1x2x8,s3s2x0x8,s3s2x1x8,s3s2x2x8);
s3ss9 := [1,1](s3s0x3x0,s3s0x4x0,s3s0x5x0,s3s1x3x0,s3s1x4x0,s3s1x5x0,s3s2x3x0,s3s2x4x0,s3s2x5x0);
s3ss10 := [1,1](s3s0x3x1,s3s0x4x1,s3s0x5x1,s3s1x3x1,s3s1x4x1,s3s1x5x1,s3s2x3x1,s3s2x4x1,s3s2x5x1);
s3ss11 := [1,1](s3s0x3x2,s3s0x4x2,s3s0x5x2,s3s1x3x2,s3s1x4x2,s3s1x5x2,s3s2x3x2,s3s2x4x2,s3s2x5x2);
s3ss12 := [1,1](s3s0x3x3,s3s0x4x3,s3s0x5x3,s3s1x3x3,s3s1x4x3,s3s1x5x3,s3s2x3x3,s3s2x4x3,s3s2x5x3);
s3ss13 := [1,1](s3s0x3x4,s3s0x4x4,s3s0x5x4,s3s1x3x4,s3s1x4x4,s3s1x5x4,s3s2x3x4,s3s2x4x4,s3s2x5x4);
s3ss14 := [1,1](s3s0x3x5,s3s0x4x5,s3s0x5x5,s3s1x3x5,s3s1x4x5,s3s1x5x5,s3s2x3x5,s3s2x4x5,s3s2x5x5);
s3ss15 := [1,1](s3s0x3x6,s3s0x4x6,s3s0x5x6,s3s1x3x6,s3s1x4x6,s3s1x5x6,s3s2x3x6,s3s2x4x6,s3s2x5x6);
s3ss16 := [1,1](s3s0x3x7,s3s0x4x7,s3s0x5x7,s3s1x3x7,s3s1x4x7,s3s1x5x7,s3s2x3x7,s3s2x4x7,s3s2x5x7);
s3ss17 := [1,1](s3s0x3x8,s3s0x4x8,s3s0x5x8,s3s1x3x8,s3s1x4x8,s3s1x5x8,s3s2x3x8,s3s2x4x8,s3s2x5x8);
s3ss18 := [1,1](s3s0x6x0,s3s0x7x0,s3s0x8x0,s3s1x6x0,s3s1x7x0,s3s1x8x0,s3s2x6x0,s3s2x7x0,s3s2x8x0);
s3ss19 := [1,1](s3s0x6x1,s3s0x7x1,s3s0x8x1,s3s1x6x1,s3s1x7x1,s3s1x8x1,s3s2x6x1,s3s2x7x1,s3s2x8x1);
s3ss20 := [1,1](s3s0x6x2,s3s0x7x2,s3s0x8x2,s3s1x6x2,s3s1x7x2,s3s1x8x2,s3s2x6x2,s3s2x7x2,s3s2x8x2);
s3ss21 := [1,1](s3s0x6x3,s3s0x7x3,s3s0x8x3,s3s1x6x3,s3s1x7x3,s3s1x8x3,s3s2x6x3,s3s2x7x3,s3s2x8x3);
s3ss22 := [1,1](s3s0x6x4,s3s0x7x4,s3s0x8x4,s3s1x6x4,s3s1x7x4,s3s1x8x4,s3s2x6x4,s3s2x7x4,s3s2x8x4);
s3ss23 := [1,1](s3s0x6x5,s3s0x7x5,s3s0x8x5,s3s1x6x5,s3s1x7x5,s3s1x8x5,s3s2x6x5,s3s2x7x5,s3s2x8x5);
s3ss24 := [1,1](s3s0x6x6,s3s0x7x6,s3s0x8x6,s3s1x6x6,s3s1x7x6,s3s1x8x6,s3s2x6x6,s3s2x7x6,s3s2x8x6);
s3ss25 := [1,1](s3s0x6x7,s3s0x7x7,s3s0x8x7,s3s1x6x7,s3s1x7x7,s3s1x8x7,s3s2x6x7,s3s2x7x7,s3s2x8x7);
s3ss26 := [1,1](s3s0x6x8,s3s0x7x8,s3s0x8x8,s3s1x6x8,s3s1x7x8,s3s1x8x8,s3s2x6x8,s3s2x7x8,s3s2x8x8);
s3ss27 := [1,1](s3s3x0x0,s3s3x1x0,s3s3x2x0,s3s4x0x0,s3s4x1x0,s3s4x2x0,s3s5x0x0,s3s5x1x0,s3s5x2x0);
s3ss28 := [1,1](s3s3x0x1,s3s3x1x1,s3s3x2x1,s3s4x0x1,s3s4x1x1,s3s4x2x1,s3s5x0x1,s3s5x1x1,s3s5x2x1);
s3ss29 := [1,1](s3s3x0x2,s3s3x1x2,s3s3x2x2,s3s4x0x2,s3s4x1x2,s3s4x2x2,s3s5x0x2,s3s5x1x2,s3s5x2x2);
s3ss30 := [1,1](s3s3x0x3,s3s3x1x3,s3s3x2x3,s3s4x0x3,s3s4x1x3,s3s4x2x3,s3s5x0x3,s3s5x1x3,s3s5x2x3);
s3ss31 := [1,1](s3s3x0x4,s3s3x1x4,s3s3x2x4,s3s4x0x4,s3s4x1x4,s3s4x2x4,s3s5x0x4,s3s5x1x4,s3s5x2x4);
s3ss32 := [1,1](s3s3x0x5,s3s3x1x5,s3s3x2x5,s3s4x0x5,s3s4x1x5,s3s4x2x5,s3s5x0x5,s3s5x1x5,s3s5x2x5);
s3ss33 := [1,1](s3s3x0x6,s3s3x1x6,s3s3x2x6,s3s4x0x6,s3s4x1x6,s3s4x2x6,s3s5x0x6,s3s5x1x6,s3s5x2x6);
s3ss34 := [1,1](s3s3x0x7,s3s3x1x7,s3s3x2x7,s3s4x0x7,s3s4x1x7,s3s4x2x7,s3s5x0x7,s3s5x1x7,s3s5x2x7);
s3ss35 := [1,1](s3s3x0x8,s3s3x1x8,s3s3x2x8,s3s4x0x8,s3s4x1x8,s3s4x2x8,s3s5x0x8,s3s5x1x8,s3s5x2x8);
s3ss36 := [1,1](s3s3x3x0,s3s3x4x0,s3s3x5x0,s3s4x3x0,s3s4x4x0,s3s4x5x0,s3s5x3x0,s3s5x4x0,s3s5x5x0);
s3ss37 := [1,1](s3s3x3x1,s3s3x4x1,s3s3x5x1,s3s4x3x1,s3s4x4x1,s3s4x5x1,s3s5x3x1,s3s5x4x1,s3s5x5x1);
s3ss38 := [1,1](s3s3x3x2,s3s3x4x2,s3s3x5x2,s3s4x3x2,s3s4x4x2,s3s4x5x2,s3s5x3x2,s3s5x4x2,s3s5x5x2);
s3ss39 := [1,1](s3s3x3x3,s3s3x4x3,s3s3x5x3,s3s4x3x3,s3s4x4x3,s3s4x5x3,s3s5x3x3,s3s5x4x3,s3s5x5x3);
s3ss40 := [1,1](s3s3x3x4,s3s3x4x4,s3s3x5x4,s3s4x3x4,s3s4x4x4,s3s4x5x4,s3s5x3x4,s3s5x4x4,s3s5x5x4);
s3ss41 := [1,1](s3s3x3x5,s3s3x4x5,s3s3x5x5,s3s4x3x5,s3s4x4x5,s3s4x5x5,s3s5x3x5,s3s5x4x5,s3s5x5x5);
s3ss42 := [1,1](s3s3x3x6,s3s3x4x6,s3s3x5x6,s3s4x3x6,s3s4x4x6,s3s4x5x6,s3s5x3x6,s3s5x4x6,s3s5x5x6);
s3ss43 := [1,1](s3s3x3x7,s3s3x4x7,s3s3x5x7,s3s4x3x7,s3s4x4x7,s3s4x5x7,s3s5x3x7,s3s5x4x7,s3s5x5x7);
s3ss44 := [1,1](s3s3x3x8,s3s3x4x8,s3s3x5x8,s3s4x3x8,s3s4x4x8,s3s4x5x8,s3s5x3x8,s3s5x4x8,s3s5x5x8);
s3ss45 := [1,1](s3s3x6x0,s3s3x7x0,s3s3x8x0,s3s4x6x0,s3s4x7x0,s3s4x8x0,s3s5x6x0,s3s5x7x0,s3s5x8x0);
s3ss46 := [1,1](s3s3x6x1,s3s3x7x1,s3s3x8x1,s3s4x6x1,s3s4x7x1,s3s4x8x1,s3s5x6x1,s3s5x7x1,s3s5x8x1);
s3ss47 := [1,1](s3s3x6x2,s3s3x7x2,s3s3x8x2,s3s4x6x2,s3s4x7x2,s3s4x8x2,s3s5x6x2,s3s5x7x2,s3s5x8x2);
s3ss48 := [1,1](s3s3x6x3,s3s3x7x3,s3s3x8x3,s3s4x6x3,s3s4x7x3,s3s4x8x3,s3s5x6x3,s3s5x7x3,s3s5x8x3);
s3ss49 := [1,1](s3s3x6x4,s3s3x7x4,s3s3x8x4,s3s4x6x4,s3s4x7x4,s3s4x8x4,s3s5x6x4,s3s5x7x4,s3s5x8x4);
s3ss50 := [1,1](s3s3x6x5,s3s3x7x5,s3s3x8x5,s3s4x6x5,s3s4x7x5,s3s4x8x5,s3s5x6x5,s3s5x7x5,s3s5x8x5);
s3ss51 := [1,1](s3s3x6x6,s3s3x7x6,s3s3x8x6,s3s4x6x6,s3s4x7x6,s3s4x8x6,s3s5x6x6,s3s5x7x6,s3s5x8x6);
s3ss52 := [1,1](s3s3x6x7,s3s3x7x7,s3s3x8x7,s3s4x6x7,s3s4x7x7,s3s4x8x7,s3s5x6x7,s3s5x7x7,s3s5x8x7);
s3ss53 := [1,1](s3s3x6x8,s3s3x7x8,s3s3x8x8,s3s4x6x8,s3s4x7x8,s3s4x8x8,s3s5x6x8,s3s5x7x8,s3s5x8x8);
s3ss54 := [1,1](s3s6x0x0,s3s6x1x0,s3s6x2x0,s3s7x0x0,s3s7x1x0,s3s7x2x0,s3s8x0x0,s3s8x1x0,s3s8x2x0);
s3ss55 := [1,1](s3s6x0x1,s3s6x1x1,s3s6x2x1,s3s7x0x1,s3s7x1x1,s3s7x2x1,s3s8x0x1,s3s8x1x1,s3s8x2x1);
s3ss56 := [1,1](s3s6x0x2,s3s6x1x2,s3s6x2x2,s3s7x0x2,s3s7x1x2,s3s7x2x2,s3s8x0x2,s3s8x1x2,s3s8x2x2);
s3ss57 := [1,1](s3s6x0x3,s3s6x1x3,s3s6x2x3,s3s7x0x3,s3s7x1x3,s3s7x2x3,s3s8x0x3,s3s8x1x3,s3s8x2x3);
s3ss58 := [1,1](s3s6x0x4,s3s6x1x4,s3s6x2x4,s3s7x0x4,s3s7x1x4,s3s7x2x4,s3s8x0x4,s3s8x1x4,s3s8x2x4);
s3ss59 := [1,1](s3s6x0x5,s3s6x1x5,s3s6x2x5,s3s7x0x5,s3s7x1x5,s3s7x2x5,s3s8x0x5,s3s8x1x5,s3s8x2x5);
s3ss60 := [1,1](s3s6x0x6,s3s6x1x6,s3s6x2x6,s3s7x0x6,s3s7x1x6,s3s7x2x6,s3s8x0x6,s3s8x1x6,s3s8x2x6);
s3ss61 := [1,1](s3s6x0x7,s3s6x1x7,s3s6x2x7,s3s7x0x7,s3s7x1x7,s3s7x2x7,s3s8x0x7,s3s8x1x7,s3s8x2x7);
s3ss62 := [1,1](s3s6x0x8,s3s6x1x8,s3s6x2x8,s3s7x0x8,s3s7x1x8,s3s7x2x8,s3s8x0x8,s3s8x1x8,s3s8x2x8);
s3ss63 := [1,1](s3s6x3x0,s3s6x4x0,s3s6x5x0,s3s7x3x0,s3s7x4x0,s3s7x5x0,s3s8x3x0,s3s8x4x0,s3s8x5x0);
